time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,city,latitude,longitude
2024-01-01,14.5,7.4,10.5,0.0,0.0,0.0,9.7,San Francisco,37.7749,-122.4194
2024-01-02,15.4,8.1,11.4,14.0,14.0,0.0,33.8,San Francisco,37.7749,-122.4194
2024-01-03,13.5,8.6,10.9,2.0,2.0,0.0,21.0,San Francisco,37.7749,-122.4194
2024-01-04,14.7,6.8,10.7,0.3,0.3,0.0,15.3,San Francisco,37.7749,-122.4194
2024-01-05,15.8,8.5,11.4,0.5,0.5,0.0,15.6,San Francisco,37.7749,-122.4194
2024-01-06,13.1,7.5,10.1,4.1,4.1,0.0,35.6,San Francisco,37.7749,-122.4194
2024-01-07,11.9,4.7,7.8,0.0,0.0,0.0,16.4,San Francisco,37.7749,-122.4194
2024-01-08,11.1,4.5,8.2,0.0,0.0,0.0,11.8,San Francisco,37.7749,-122.4194
2024-01-09,13.9,8.7,11.1,6.5,6.5,0.0,27.2,San Francisco,37.7749,-122.4194
2024-01-10,12.7,7.9,10.5,3.8,3.8,0.0,36.3,San Francisco,37.7749,-122.4194
2024-01-11,11.7,4.6,8.4,0.0,0.0,0.0,28.4,San Francisco,37.7749,-122.4194
2024-01-12,12.1,4.8,8.5,0.0,0.0,0.0,14.4,San Francisco,37.7749,-122.4194
2024-01-13,13.2,8.4,10.9,12.7,12.7,0.0,35.7,San Francisco,37.7749,-122.4194
2024-01-14,14.1,8.2,11.8,0.4,0.4,0.0,34.4,San Francisco,37.7749,-122.4194
2024-01-15,14.1,7.9,10.3,0.0,0.0,0.0,13.2,San Francisco,37.7749,-122.4194
2024-01-16,12.9,7.4,10.2,13.7,13.7,0.0,16.3,San Francisco,37.7749,-122.4194
2024-01-17,14.6,8.7,11.6,0.4,0.4,0.0,19.6,San Francisco,37.7749,-122.4194
2024-01-18,15.2,7.8,10.7,0.0,0.0,0.0,11.0,San Francisco,37.7749,-122.4194
2024-01-19,13.0,8.6,10.8,13.1,13.1,0.0,11.8,San Francisco,37.7749,-122.4194
2024-01-20,14.7,12.1,13.0,10.0,10.0,0.0,27.3,San Francisco,37.7749,-122.4194
2024-01-21,16.1,11.7,13.5,9.5,9.5,0.0,28.6,San Francisco,37.7749,-122.4194
2024-01-22,14.6,11.8,13.1,17.7,17.7,0.0,37.2,San Francisco,37.7749,-122.4194
2024-01-23,15.0,10.9,12.6,0.5,0.5,0.0,22.9,San Francisco,37.7749,-122.4194
2024-01-24,15.3,11.2,12.9,6.1,6.1,0.0,23.3,San Francisco,37.7749,-122.4194
2024-01-25,14.6,9.2,12.1,0.3,0.3,0.0,21.8,San Francisco,37.7749,-122.4194
2024-01-26,16.9,8.9,12.3,0.0,0.0,0.0,12.6,San Francisco,37.7749,-122.4194
2024-01-27,16.8,10.4,12.8,0.0,0.0,0.0,17.8,San Francisco,37.7749,-122.4194
2024-01-28,20.4,10.0,14.3,0.0,0.0,0.0,21.4,San Francisco,37.7749,-122.4194
2024-01-29,19.4,9.3,13.4,0.0,0.0,0.0,15.0,San Francisco,37.7749,-122.4194
2024-01-30,15.9,10.3,13.0,0.0,0.0,0.0,18.7,San Francisco,37.7749,-122.4194
2024-01-31,14.8,12.8,13.6,38.4,38.4,0.0,34.7,San Francisco,37.7749,-122.4194
2024-02-01,13.4,10.5,11.7,15.6,15.6,0.0,21.6,San Francisco,37.7749,-122.4194
2024-02-02,12.6,8.9,10.6,4.8,4.8,0.0,23.8,San Francisco,37.7749,-122.4194
2024-02-03,12.2,8.3,10.1,8.3,8.3,0.0,20.2,San Francisco,37.7749,-122.4194
2024-02-04,15.2,9.8,12.3,37.3,37.3,0.0,55.2,San Francisco,37.7749,-122.4194
2024-02-05,13.4,9.7,11.6,8.2,8.2,0.0,39.0,San Francisco,37.7749,-122.4194
2024-02-06,12.9,7.5,10.1,0.7,0.7,0.0,17.7,San Francisco,37.7749,-122.4194
2024-02-07,11.8,7.9,9.9,7.4,7.4,0.0,36.0,San Francisco,37.7749,-122.4194
2024-02-08,13.1,4.7,8.4,0.1,0.1,0.0,15.7,San Francisco,37.7749,-122.4194
2024-02-09,12.1,5.8,8.6,0.0,0.0,0.0,14.0,San Francisco,37.7749,-122.4194
2024-02-10,15.5,5.9,10.2,0.0,0.0,0.0,21.2,San Francisco,37.7749,-122.4194
2024-02-11,14.1,7.7,10.6,0.0,0.0,0.0,12.2,San Francisco,37.7749,-122.4194
2024-02-12,13.9,7.1,9.6,0.0,0.0,0.0,13.0,San Francisco,37.7749,-122.4194
2024-02-13,13.9,8.1,10.6,0.2,0.2,0.0,14.1,San Francisco,37.7749,-122.4194
2024-02-14,14.3,9.8,11.6,10.6,10.6,0.0,31.4,San Francisco,37.7749,-122.4194
2024-02-15,15.1,9.9,12.1,1.0,1.0,0.0,18.5,San Francisco,37.7749,-122.4194
2024-02-16,15.9,9.4,11.8,0.0,0.0,0.0,9.2,San Francisco,37.7749,-122.4194
